model,lambda_ss,reproduction_factor,critical_R0,normalized_critical_density
strong,0.275000,0.395833333333,4.500000,11.368421
hub,0.275000,0.395833333333,3.200000,8.084211
strong,0.280000,0.400000000000,4.500000,11.250000
hub,0.280000,0.400000000000,3.200000,8.000000
strong,0.285000,0.404166666667,4.500000,11.134021
hub,0.285000,0.404166666667,3.200000,7.917526
strong,0.290000,0.408333333333,4.500000,11.020408
hub,0.290000,0.408333333333,3.200000,7.836735
strong,0.295000,0.412500000000,4.500000,10.909091
hub,0.295000,0.412500000000,3.200000,7.757576
strong,0.300000,0.416666666667,4.500000,10.800000
hub,0.300000,0.416666666667,3.200000,7.680000
strong,0.305000,0.420833333333,4.500000,10.693069
hub,0.305000,0.420833333333,3.200000,7.603960
strong,0.310000,0.425000000000,4.500000,10.588235
hub,0.310000,0.425000000000,3.200000,7.529412
strong,0.315000,0.429166666667,4.500000,10.485437
hub,0.315000,0.429166666667,3.200000,7.456311
strong,0.320000,0.433333333333,4.500000,10.384615
hub,0.320000,0.433333333333,3.200000,7.384615
strong,0.325000,0.437500000000,4.500000,10.285714
hub,0.325000,0.437500000000,3.200000,7.314286
strong,0.330000,0.441666666667,4.500000,10.188679
hub,0.330000,0.441666666667,3.200000,7.245283
strong,0.335000,0.445833333333,4.500000,10.093458
hub,0.335000,0.445833333333,3.200000,7.177570
strong,0.340000,0.450000000000,4.500000,10.000000
hub,0.340000,0.450000000000,3.200000,7.111111
strong,0.345000,0.454166666667,4.500000,9.908257
hub,0.345000,0.454166666667,3.200000,7.045872
strong,0.350000,0.458333333333,4.500000,9.818182
hub,0.350000,0.458333333333,3.200000,6.981818
strong,0.355000,0.462500000000,4.500000,9.729730
hub,0.355000,0.462500000000,3.200000,6.918919
strong,0.360000,0.466666666667,4.500000,9.642857
hub,0.360000,0.466666666667,3.200000,6.857143
strong,0.365000,0.470833333333,4.500000,9.557522
hub,0.365000,0.470833333333,3.200000,6.796460
strong,0.370000,0.475000000000,4.500000,9.473684
hub,0.370000,0.475000000000,3.200000,6.736842
strong,0.375000,0.479166666667,4.500000,9.391304
hub,0.375000,0.479166666667,3.200000,6.678261
strong,0.380000,0.483333333333,4.500000,9.310345
hub,0.380000,0.483333333333,3.200000,6.620690
strong,0.385000,0.487500000000,4.500000,9.230769
hub,0.385000,0.487500000000,3.200000,6.564103
strong,0.390000,0.491666666667,4.500000,9.152542
hub,0.390000,0.491666666667,3.200000,6.508475
strong,0.395000,0.495833333333,4.500000,9.075630
hub,0.395000,0.495833333333,3.200000,6.453782
strong,0.400000,0.500000000000,4.500000,9.000000
hub,0.400000,0.500000000000,3.200000,6.400000
strong,0.405000,0.504166666667,4.500000,8.925620
hub,0.405000,0.504166666667,3.200000,6.347107
strong,0.410000,0.508333333333,4.500000,8.852459
hub,0.410000,0.508333333333,3.200000,6.295082
strong,0.415000,0.512500000000,4.500000,8.780488
hub,0.415000,0.512500000000,3.200000,6.243902
strong,0.420000,0.516666666667,4.500000,8.709677
hub,0.420000,0.516666666667,3.200000,6.193548
strong,0.425000,0.520833333333,4.500000,8.640000
hub,0.425000,0.520833333333,3.200000,6.144000
strong,0.430000,0.525000000000,4.500000,8.571429
hub,0.430000,0.525000000000,3.200000,6.095238
strong,0.435000,0.529166666667,4.500000,8.503937
hub,0.435000,0.529166666667,3.200000,6.047244
strong,0.440000,0.533333333333,4.500000,8.437500
hub,0.440000,0.533333333333,3.200000,6.000000
strong,0.445000,0.537500000000,4.500000,8.372093
hub,0.445000,0.537500000000,3.200000,5.953488
strong,0.450000,0.541666666667,4.500000,8.307692
hub,0.450000,0.541666666667,3.200000,5.907692
strong,0.455000,0.545833333333,4.500000,8.244275
