transmission_model,source_type,distance_over_r0,probability_over_w0
hub,superspreader,0.575630,0.585225
hub,superspreader,0.581754,0.581406
hub,superspreader,0.587878,0.577600
hub,superspreader,0.594001,0.573806
hub,superspreader,0.600125,0.570025
hub,superspreader,0.606249,0.566256
hub,superspreader,0.612372,0.562500
hub,superspreader,0.618496,0.558756
hub,superspreader,0.624620,0.555025
hub,superspreader,0.630744,0.551306
hub,superspreader,0.636867,0.547600
hub,superspreader,0.642991,0.543906
hub,superspreader,0.649115,0.540225
hub,superspreader,0.655239,0.536556
hub,superspreader,0.661362,0.532900
hub,superspreader,0.667486,0.529256
hub,superspreader,0.673610,0.525625
hub,superspreader,0.679733,0.522006
hub,superspreader,0.685857,0.518400
hub,superspreader,0.691981,0.514806
hub,superspreader,0.698105,0.511225
hub,superspreader,0.704228,0.507656
hub,superspreader,0.710352,0.504100
hub,superspreader,0.716476,0.500556
hub,superspreader,0.722599,0.497025
hub,superspreader,0.728723,0.493506
hub,superspreader,0.734847,0.490000
hub,superspreader,0.740971,0.486506
hub,superspreader,0.747094,0.483025
hub,superspreader,0.753218,0.479556
hub,superspreader,0.759342,0.476100
hub,superspreader,0.765466,0.472656
hub,superspreader,0.771589,0.469225
hub,superspreader,0.777713,0.465806
hub,superspreader,0.783837,0.462400
hub,superspreader,0.789960,0.459006
hub,superspreader,0.796084,0.455625
hub,superspreader,0.802208,0.452256
hub,superspreader,0.808332,0.448900
hub,superspreader,0.814455,0.445556
hub,superspreader,0.820579,0.442225
hub,superspreader,0.826703,0.438906
hub,superspreader,0.832827,0.435600
hub,superspreader,0.838950,0.432306
hub,superspreader,0.845074,0.429025
hub,superspreader,0.851198,0.425756
hub,superspreader,0.857321,0.422500
hub,superspreader,0.863445,0.419256
hub,superspreader,0.869569,0.416025
hub,superspreader,0.875693,0.412806
hub,superspreader,0.881816,0.409600
hub,superspreader,0.887940,0.406406
hub,superspreader,0.894064,0.403225
hub,superspreader,0.900187,0.400056
hub,superspreader,0.906311,0.396900
hub,superspreader,0.912435,0.393756
hub,superspreader,0.918559,0.390625
hub,superspreader,0.924682,0.387506
hub,superspreader,0.930806,0.384400
hub,superspreader,0.936930,0.381306
hub,superspreader,0.943054,0.378225
hub,superspreader,0.949177,0.375156
hub,superspreader,0.955301,0.372100
hub,superspreader,0.961425,0.369056
hub,superspreader,0.967548,0.366025
hub,superspreader,0.973672,0.363006
hub,superspreader,0.979796,0.360000
hub,superspreader,0.985920,0.357006
hub,superspreader,0.992043,0.354025
hub,superspreader,0.998167,0.351056
hub,superspreader,1.004291,0.348100
hub,superspreader,1.010415,0.345156
hub,superspreader,1.016538,0.342225
hub,superspreader,1.022662,0.339306
hub,superspreader,1.028786,0.336400
hub,superspreader,1.034909,0.333506
hub,superspreader,1.041033,0.330625
hub,superspreader,1.047157,0.327756
hub,superspreader,1.053281,0.324900
hub,superspreader,1.059404,0.322056
hub,superspreader,1.065528,0.319225
hub,superspreader,1.071652,0.316406
hub,superspreader,1.077775,0.313600
hub,superspreader,1.083899,0.310806
hub,superspreader,1.090023,0.308025
hub,superspreader,1.096147,0.305256
hub,superspreader,1.102270,0.302500
hub,superspreader,1.108394,0.299756
hub,superspreader,1.114518,0.297025
hub,superspreader,1.120642,0.294306
hub,superspreader,1.126765,0.291600
hub,superspreader,1.132889,0.288906
hub,superspreader,1.139013,0.286225
hub,superspreader,1.145136,0.283556
hub,superspreader,1.151260,0.280900
hub,superspreader,1.157384,0.278256
hub,superspreader,1.163508,0.275625
hub,superspreader,1.169631,0.273006
hub,superspreader,1.175755,0.270400
hub,superspreader,1.181879,0.267806
hub,superspreader,1.188003,0.265225
hub,superspreader,1.194126,0.262656
hub,superspreader,1.200250,0.260100
hub,superspreader,1.206374,0.257556
hub,superspreader,1.212497,0.255025
hub,superspreader,1.218621,0.252506
hub,superspreader,1.224745,0.250000
hub,superspreader,1.230869,0.247506
hub,superspreader,1.236992,0.245025
hub,superspreader,1.243116,0.242556
hub,superspreader,1.249240,0.240100
hub,superspreader,1.255363,0.237656
hub,superspreader,1.261487,0.235225
hub,superspreader,1.267611,0.232806
hub,superspreader,1.273735,0.230400
hub,superspreader,1.279858,0.228006
hub,superspreader,1.285982,0.225625
hub,superspreader,1.292106,0.223256
hub,superspreader,1.298230,0.220900
hub,superspreader,1.304353,0.218556
hub,superspreader,1.310477,0.216225
hub,superspreader,1.316601,0.213906
hub,superspreader,1.322724,0.211600
hub,superspreader,1.328848,0.209306
hub,superspreader,1.334972,0.207025
hub,superspreader,1.341096,0.204756
hub,superspreader,1.347219,0.202500
hub,superspreader,1.353343,0.200256
hub,superspreader,1.359467,0.198025
hub,superspreader,1.365591,0.195806
hub,superspreader,1.371714,0.193600
hub,superspreader,1.377838,0.191406
hub,superspreader,1.383962,0.189225
hub,superspreader,1.390085,0.187056
hub,superspreader,1.396209,0.184900
hub,superspreader,1.402333,0.182756
hub,superspreader,1.408457,0.180625
hub,superspreader,1.414580,0.178506
hub,superspreader,1.420704,0.176400
hub,superspreader,1.426828,0.174306
hub,superspreader,1.432951,0.172225
hub,superspreader,1.439075,0.170156
hub,superspreader,1.445199,0.168100
hub,superspreader,1.451323,0.166056
hub,superspreader,1.457446,0.164025
hub,superspreader,1.463570,0.162006
hub,superspreader,1.469694,0.160000
hub,superspreader,1.475818,0.158006
hub,superspreader,1.481941,0.156025
hub,superspreader,1.488065,0.154056
hub,superspreader,1.494189,0.152100
hub,superspreader,1.500312,0.150156
hub,superspreader,1.506436,0.148225
hub,superspreader,1.512560,0.146306
hub,superspreader,1.518684,0.144400
hub,superspreader,1.524807,0.142506
hub,superspreader,1.530931,0.140625
hub,superspreader,1.537055,0.138756
hub,superspreader,1.543179,0.136900
hub,superspreader,1.549302,0.135056
hub,superspreader,1.555426,0.133225
hub,superspreader,1.561550,0.131406
hub,superspreader,1.567673,0.129600
hub,superspreader,1.573797,0.127806
hub,superspreader,1.579921,0.126025
hub,superspreader,1.586045,0.124256
hub,superspreader,1.592168,0.122500
hub,superspreader,1.598292,0.120756
hub,superspreader,1.604416,0.119025
hub,superspreader,1.610540,0.117306
hub,superspreader,1.616663,0.115600
hub,superspreader,1.622787,0.113906
hub,superspreader,1.628911,0.112225
hub,superspreader,1.635034,0.110556
hub,superspreader,1.641158,0.108900
hub,superspreader,1.647282,0.107256
hub,superspreader,1.653406,0.105625
hub,superspreader,1.659529,0.104006
hub,superspreader,1.665653,0.102400
hub,superspreader,1.671777,0.100806
hub,superspreader,1.677900,0.099225
hub,superspreader,1.684024,0.097656
hub,superspreader,1.690148,0.096100
hub,superspreader,1.696272,0.094556
hub,superspreader,1.702395,0.093025
hub,superspreader,1.708519,0.091506
hub,superspreader,1.714643,0.090000
hub,superspreader,1.720767,0.088506
hub,superspreader,1.726890,0.087025
hub,superspreader,1.733014,0.085556
hub,superspreader,1.739138,0.084100
hub,superspreader,1.745261,0.082656
hub,superspreader,1.751385,0.081225
hub,superspreader,1.757509,0.079806
hub,superspreader,1.763633,0.078400
hub,superspreader,1.769756,0.077006
hub,superspreader,1.775880,0.075625
hub,superspreader,1.782004,0.074256
hub,superspreader,1.788128,0.072900
hub,superspreader,1.794251,0.071556
hub,superspreader,1.800375,0.070225
hub,superspreader,1.806499,0.068906
hub,superspreader,1.812622,0.067600
hub,superspreader,1.818746,0.066306
hub,superspreader,1.824870,0.065025
hub,superspreader,1.830994,0.063756
hub,superspreader,1.837117,0.062500
hub,superspreader,1.843241,0.061256
hub,superspreader,1.849365,0.060025
hub,superspreader,1.855488,0.058806
hub,superspreader,1.861612,0.057600
hub,superspreader,1.867736,0.056406
hub,superspreader,1.873860,0.055225
hub,superspreader,1.879983,0.054056
hub,superspreader,1.886107,0.052900
hub,superspreader,1.892231,0.051756
hub,superspreader,1.898355,0.050625
hub,superspreader,1.904478,0.049506
hub,superspreader,1.910602,0.048400
hub,superspreader,1.916726,0.047306
hub,superspreader,1.922849,0.046225
hub,superspreader,1.928973,0.045156
hub,superspreader,1.935097,0.044100
hub,superspreader,1.941221,0.043056
hub,superspreader,1.947344,0.042025
hub,superspreader,1.953468,0.041006
hub,superspreader,1.959592,0.040000
hub,superspreader,1.965716,0.039006
hub,superspreader,1.971839,0.038025
hub,superspreader,1.977963,0.037056
hub,superspreader,1.984087,0.036100
hub,superspreader,1.990210,0.035156
hub,superspreader,1.996334,0.034225
hub,superspreader,2.002458,0.033306
hub,superspreader,2.008582,0.032400
hub,superspreader,2.014705,0.031506
hub,superspreader,2.020829,0.030625
hub,superspreader,2.026953,0.029756
hub,superspreader,2.033076,0.028900
hub,superspreader,2.039200,0.028056
hub,superspreader,2.045324,0.027225
hub,superspreader,2.051448,0.026406
hub,superspreader,2.057571,0.025600
hub,superspreader,2.063695,0.024806
hub,superspreader,2.069819,0.024025
hub,superspreader,2.075943,0.023256
hub,superspreader,2.082066,0.022500
hub,superspreader,2.088190,0.021756
hub,superspreader,2.094314,0.021025
hub,superspreader,2.100437,0.020306
hub,superspreader,2.106561,0.019600
hub,superspreader,2.112685,0.018906
hub,superspreader,2.118809,0.018225
hub,superspreader,2.124932,0.017556
hub,superspreader,2.131056,0.016900
hub,superspreader,2.137180,0.016256
hub,superspreader,2.143304,0.015625
hub,superspreader,2.149427,0.015006
hub,superspreader,2.155551,0.014400
hub,superspreader,2.161675,0.013806
hub,superspreader,2.167798,0.013225
hub,superspreader,2.173922,0.012656
hub,superspreader,2.180046,0.012100
hub,superspreader,2.186170,0.011556
hub,superspreader,2.192293,0.011025
hub,superspreader,2.198417,0.010506
hub,superspreader,2.204541,0.010000
hub,superspreader,2.210664,0.009506
hub,superspreader,2.216788,0.009025
hub,superspreader,2.222912,0.008556
hub,superspreader,2.229036,0.008100
hub,superspreader,2.235159,0.007656
hub,superspreader,2.241283,0.007225
hub,superspreader,2.247407,0.006806
hub,superspreader,2.253531,0.006400
hub,superspreader,2.259654,0.006006
hub,superspreader,2.265778,0.005625
hub,superspreader,2.271902,0.005256
hub,superspreader,2.278025,0.004900
hub,superspreader,2.284149,0.004556
hub,superspreader,2.290273,0.004225
hub,superspreader,2.296397,0.003906
hub,superspreader,2.302520,0.003600
hub,superspreader,2.308644,0.003306
hub,superspreader,2.314768,0.003025
hub,superspreader,2.320892,0.002756
hub,superspreader,2.327015,0.002500
hub,superspreader,2.333139,0.002256
hub,superspreader,2.339263,0.002025
hub,superspreader,2.345386,0.001806
hub,superspreader,2.351510,0.001600
hub,superspreader,2.357634,0.001406
hub,superspreader,2.363758,0.001225
hub,superspreader,2.369881,0.001056
hub,superspreader,2.376005,0.000900
hub,superspreader,2.382129,0.000756
hub,superspreader,2.388252,0.000625
hub,superspreader,2.394376,0.000506
hub,superspreader,2.400500,0.000400
hub,superspreader,2.406624,0.000306
hub,superspreader,2.412747,0.000225
hub,superspreader,2.418871,0.000156
hub,superspreader,2.424995,0.000100
hub,superspreader,2.431119,0.000056
hub,superspreader,2.437242,0.000025
hub,superspreader,2.443366,0.000006
hub,superspreader,2.449490,0.000000
