model,lambda_ss,time,mean_new_infections,mean_active_infected,mean_cumulative_infected
hub,0.4000,110,0.000000,0.000000,443.956000
hub,0.4000,111,0.000000,0.000000,443.956000
hub,0.4000,112,0.000000,0.000000,443.956000
hub,0.4000,113,0.000000,0.000000,443.956000
hub,0.4000,114,0.000000,0.000000,443.956000
hub,0.4000,115,0.000000,0.000000,443.956000
hub,0.4000,116,0.000000,0.000000,443.956000
hub,0.4000,117,0.000000,0.000000,443.956000
hub,0.4000,118,0.000000,0.000000,443.956000
hub,0.4000,119,0.000000,0.000000,443.956000
hub,0.4000,120,0.000000,0.000000,443.956000
hub,0.4000,121,0.000000,0.000000,443.956000
hub,0.4000,122,0.000000,0.000000,443.956000
hub,0.4000,123,0.000000,0.000000,443.956000
hub,0.4000,124,0.000000,0.000000,443.956000
hub,0.4000,125,0.000000,0.000000,443.956000
hub,0.4000,126,0.000000,0.000000,443.956000
hub,0.4000,127,0.000000,0.000000,443.956000
hub,0.4000,128,0.000000,0.000000,443.956000
hub,0.4000,129,0.000000,0.000000,443.956000
hub,0.4000,130,0.000000,0.000000,443.956000
hub,0.4000,131,0.000000,0.000000,443.956000
hub,0.4000,132,0.000000,0.000000,443.956000
hub,0.4000,133,0.000000,0.000000,443.956000
hub,0.4000,134,0.000000,0.000000,443.956000
hub,0.4000,135,0.000000,0.000000,443.956000
hub,0.4000,136,0.000000,0.000000,443.956000
hub,0.4000,137,0.000000,0.000000,443.956000
hub,0.4000,138,0.000000,0.000000,443.956000
hub,0.4000,139,0.000000,0.000000,443.956000
hub,0.4000,140,0.000000,0.000000,443.956000
hub,0.4000,141,0.000000,0.000000,443.956000
hub,0.4000,142,0.000000,0.000000,443.956000
hub,0.4000,143,0.000000,0.000000,443.956000
hub,0.4000,144,0.000000,0.000000,443.956000
hub,0.4000,145,0.000000,0.000000,443.956000
hub,0.4000,146,0.000000,0.000000,443.956000
hub,0.4000,147,0.000000,0.000000,443.956000
hub,0.4000,148,0.000000,0.000000,443.956000
hub,0.4000,149,0.000000,0.000000,443.956000
hub,0.4000,150,0.000000,0.000000,443.956000
hub,0.4000,151,0.000000,0.000000,443.956000
hub,0.4000,152,0.000000,0.000000,443.956000
hub,0.4000,153,0.000000,0.000000,443.956000
hub,0.4000,154,0.000000,0.000000,443.956000
hub,0.4000,155,0.000000,0.000000,443.956000
hub,0.4000,156,0.000000,0.000000,443.956000
hub,0.4000,157,0.000000,0.000000,443.956000
hub,0.4000,158,0.000000,0.000000,443.956000
hub,0.4000,159,0.000000,0.000000,443.956000
hub,0.4000,160,0.000000,0.000000,443.956000
hub,0.4000,161,0.000000,0.000000,443.956000
hub,0.4000,162,0.000000,0.000000,443.956000
hub,0.4000,163,0.000000,0.000000,443.956000
hub,0.4000,164,0.000000,0.000000,443.956000
hub,0.4000,165,0.000000,0.000000,443.956000
hub,0.4000,166,0.000000,0.000000,443.956000
hub,0.4000,167,0.000000,0.000000,443.956000
hub,0.4000,168,0.000000,0.000000,443.956000
hub,0.4000,169,0.000000,0.000000,443.956000
hub,0.4000,170,0.000000,0.000000,443.956000
hub,0.4000,171,0.000000,0.000000,443.956000
hub,0.4000,172,0.000000,0.000000,443.956000
hub,0.4000,173,0.000000,0.000000,443.956000
hub,0.4000,174,0.000000,0.000000,443.956000
hub,0.4000,175,0.000000,0.000000,443.956000
hub,0.4000,176,0.000000,0.000000,443.956000
hub,0.4000,177,0.000000,0.000000,443.956000
hub,0.4000,178,0.000000,0.000000,443.956000
hub,0.4000,179,0.000000,0.000000,443.956000
